x,y
0.00,39.00
1.00,40.15
2.00,41.30
3.00,42.45
4.00,43.60
5.00,44.75
6.00,45.90
7.00,47.05
8.00,48.20
9.00,49.35
10.00,50.50
11.00,51.65
12.00,52.80
13.00,53.95
14.00,55.10
15.00,56.25
16.00,57.40
17.00,58.55
18.00,59.70
19.00,60.85
20.00,62.00
21.00,63.15
22.00,64.30
23.00,65.45
24.00,66.60
25.00,67.75
26.00,68.90
27.00,70.05
28.00,71.20
29.00,72.35
30.00,73.50
31.00,74.65
32.00,75.80
33.00,76.95
34.00,78.10
35.00,79.25
36.00,80.40
37.00,81.55
38.00,82.70
39.00,83.85
40.00,85.00
41.00,86.15
42.00,87.30
43.00,88.45
44.00,89.60
45.00,90.75
46.00,91.90
47.00,93.05
48.00,94.20
49.00,95.35
50.00,96.50
51.00,97.65
52.00,98.80
53.00,99.95
54.00,101.10
55.00,102.25
56.00,103.40
57.00,104.55
58.00,105.70
59.00,106.85
60.00,108.00
61.00,109.15
62.00,110.30
63.00,111.45
64.00,112.60
65.00,113.75
66.00,114.90
67.00,116.05
68.00,117.20
69.00,118.35
70.00,119.50
71.00,120.65
72.00,121.80
73.00,122.95
74.00,124.10
75.00,125.25
76.00,126.40
77.00,127.55
78.00,128.70
79.00,129.85
80.00,131.00
81.00,132.15
82.00,133.30
83.00,134.45
84.00,135.60
85.00,136.75
86.00,137.90
87.00,139.05
88.00,140.20
89.00,141.35
90.00,142.50
91.00,143.65
92.00,144.80
93.00,145.95
94.00,147.10
95.00,148.25
96.00,149.40
97.00,150.55
98.00,151.70
99.00,152.85
