x,y
0.00,30.00
1.00,31.30
2.00,32.60
3.00,33.90
4.00,35.20
5.00,36.50
6.00,37.80
7.00,39.10
8.00,40.40
9.00,41.70
10.00,43.00
11.00,44.30
12.00,45.60
13.00,46.90
14.00,48.20
15.00,49.50
16.00,50.80
17.00,52.10
18.00,53.40
19.00,54.70
20.00,56.00
21.00,57.30
22.00,58.60
23.00,59.90
24.00,61.20
25.00,62.50
26.00,63.80
27.00,65.10
28.00,66.40
29.00,67.70
30.00,69.00
31.00,70.30
32.00,71.60
33.00,72.90
34.00,74.20
35.00,75.50
36.00,76.80
37.00,78.10
38.00,79.40
39.00,80.70
40.00,82.00
41.00,83.30
42.00,84.60
43.00,85.90
44.00,87.20
45.00,88.50
46.00,89.80
47.00,91.10
48.00,92.40
49.00,93.70
50.00,95.00
51.00,96.30
52.00,97.60
53.00,98.90
54.00,100.20
55.00,101.50
56.00,102.80
57.00,104.10
58.00,105.40
59.00,106.70
60.00,108.00
61.00,109.30
62.00,110.60
63.00,111.90
64.00,113.20
65.00,114.50
66.00,115.80
67.00,117.10
68.00,118.40
69.00,119.70
70.00,121.00
71.00,122.30
72.00,123.60
73.00,124.90
74.00,126.20
75.00,127.50
76.00,128.80
77.00,130.10
78.00,131.40
79.00,132.70
80.00,134.00
81.00,135.30
82.00,136.60
83.00,137.90
84.00,139.20
85.00,140.50
86.00,141.80
87.00,143.10
88.00,144.40
89.00,145.70
90.00,147.00
91.00,148.30
92.00,149.60
93.00,150.90
94.00,152.20
95.00,153.50
96.00,154.80
97.00,156.10
98.00,157.40
99.00,158.70
